timestep  requested_torque  pendulum_angle
     241          0.014096        3.140154
     242          0.014078        3.140156
     243          0.014059        3.140158
     244          0.014039        3.140160
     245          0.014019        3.140162
     246          0.013998        3.140164
     247          0.013976        3.140166
     248          0.013953        3.140169
     249          0.013929        3.140171
     250          0.013905        3.140173
     251          0.013881        3.140176
     252          0.013857        3.140178
     253          0.013832        3.140181
     254          0.013808        3.140183
     255          0.013783        3.140185
